OBJECTID,PROVINCE,DISTRICT,Shape_Leng,ADMIN_UNIT,Shape_Le_1,Shape_Le_2,Shape_Area,Web_source, FID
1,AZAD KASHMIR,BAGH,1.52,DISTRICT,1.52,1.52,0.07,https://giszoo.blogspot.com/,0
2,AZAD KASHMIR,BHIMBER,1.86,DISTRICT,1.86,1.86,0.12,https://giszoo.blogspot.com/,1
3,AZAD KASHMIR,HATTIAN BALA,1.38,DISTRICT,1.38,1.38,0.07,https://giszoo.blogspot.com/,2
5,AZAD KASHMIR,KOTLI,1.94,DISTRICT,1.94,1.94,0.16,https://giszoo.blogspot.com/,4
6,AZAD KASHMIR,MIRPUR,1.39,DISTRICT,1.39,1.39,0.09,https://giszoo.blogspot.com/,5
7,AZAD KASHMIR,MUZAFFARABAD,1.83,DISTRICT,1.83,1.83,0.13,https://giszoo.blogspot.com/,6
8,AZAD KASHMIR,NEELUM,3.8,DISTRICT,3.8,3.8,0.34,https://giszoo.blogspot.com/,7
9,AZAD KASHMIR,POONCH,1.77,DISTRICT,1.77,1.77,0.07,https://giszoo.blogspot.com/,8
10,AZAD KASHMIR,SUDHNOTI,1.14,DISTRICT,1.14,1.14,0.06,https://giszoo.blogspot.com/,9
11,BALOCHISTAN,AWARAN,8.78,DISTRICT,8.78,8.78,2.25,https://giszoo.blogspot.com/,10
12,BALOCHISTAN,BARKHAN,3.33,DISTRICT,3.33,3.33,0.33,https://giszoo.blogspot.com/,11
13,BALOCHISTAN,CHAGAI,11.37,DISTRICT,11.37,11.37,4.11,https://giszoo.blogspot.com/,12
14,BALOCHISTAN,DERA BUGTI,5.15,DISTRICT,5.15,5.15,0.95,https://giszoo.blogspot.com/,13
15,BALOCHISTAN,GWADAR,11.14,DISTRICT,11.14,11.14,1.02,https://giszoo.blogspot.com/,14
16,BALOCHISTAN,HARNAI,3.73,DISTRICT,3.73,3.73,0.29,https://giszoo.blogspot.com/,15
17,BALOCHISTAN,JAFFARABAD,3.83,DISTRICT,2.57,2.57,0.17,https://giszoo.blogspot.com/,16
18,BALOCHISTAN,JHAL MAGSI,3.03,DISTRICT,3.03,3.03,0.35,https://giszoo.blogspot.com/,17
19,BALOCHISTAN,KACHHI,5.43,DISTRICT,4.67,4.67,0.5,https://giszoo.blogspot.com/,18
20,BALOCHISTAN,KALAT,6.39,DISTRICT,6.39,6.39,1.28,https://giszoo.blogspot.com/,19
21,BALOCHISTAN,KECH,8.92,DISTRICT,8.92,8.92,2.17,https://giszoo.blogspot.com/,20
22,BALOCHISTAN,KHARAN,4.62,DISTRICT,4.62,4.62,0.99,https://giszoo.blogspot.com/,21
23,BALOCHISTAN,KHUZDAR,9.84,DISTRICT,9.84,9.84,2.83,https://giszoo.blogspot.com/,22
23,BALOCHISTAN,KHUZDAR,9.84,DISTRICT,9.84,9.84,2.83,https://giszoo.blogspot.com/,22
24,BALOCHISTAN,KILLA ABDULLAH,4.35,DISTRICT,4.35,4.35,0.54,https://giszoo.blogspot.com/,23
25,BALOCHISTAN,KILLA SAIFULLAH,6.86,DISTRICT,6.86,6.86,1.17,https://giszoo.blogspot.com/,24
26,BALOCHISTAN,KOHLU,5.54,DISTRICT,5.54,5.54,0.72,https://giszoo.blogspot.com/,25
27,BALOCHISTAN,LASBELA,11.3,DISTRICT,11.3,11.3,1.27,https://giszoo.blogspot.com/,26
28,BALOCHISTAN,LORALAI,6.17,DISTRICT,6.17,6.17,0.76,https://giszoo.blogspot.com/,27
29,BALOCHISTAN,MASTUNG,5.09,DISTRICT,5.09,5.09,0.53,https://giszoo.blogspot.com/,28
30,BALOCHISTAN,MUSA KHEL,3.81,DISTRICT,3.8,3.8,0.56,https://giszoo.blogspot.com/,29
31,BALOCHISTAN,NASIRABAD,2.87,DISTRICT,2.87,2.87,0.3,https://giszoo.blogspot.com/,30
32,BALOCHISTAN,NUSHKI,3.3,DISTRICT,3.3,3.3,0.54,https://giszoo.blogspot.com/,31
33,BALOCHISTAN,PANJGUR,7.25,DISTRICT,7.25,7.25,1.59,https://giszoo.blogspot.com/,32
34,BALOCHISTAN,PISHIN,3.95,DISTRICT,3.95,3.95,0.46,https://giszoo.blogspot.com/,33
35,BALOCHISTAN,QUETTA,3.49,DISTRICT,3.49,3.49,0.26,https://giszoo.blogspot.com/,34
36,BALOCHISTAN,SHEERANI,2.68,DISTRICT,2.67,2.67,0.28,https://giszoo.blogspot.com/,35
37,BALOCHISTAN,SIBI,6.17,DISTRICT,4.28,4.28,0.46,https://giszoo.blogspot.com/,36
38,BALOCHISTAN,WASHUK,10.04,DISTRICT,10.04,10.04,3.34,https://giszoo.blogspot.com/,37
39,BALOCHISTAN,ZHOB,7.66,DISTRICT,7.66,7.66,1.13,https://giszoo.blogspot.com/,38
40,BALOCHISTAN,ZIARAT,3.56,DISTRICT,3.56,3.56,0.31,https://giszoo.blogspot.com/,39
41,INDIAN OCCUPIED KASHMIR,INDIAN OCCUPIED KASHMIR,22.12,INDIAN OCCUPIED KASHMIR,22.51,22.51,10.19,https://giszoo.blogspot.com/,40
42,FATA,BAJAUR AGENCY,1.99,AGENCY,1.99,1.99,0.13,https://giszoo.blogspot.com/,41
43,FATA,FR BANNU,2,DISTRICT,2,2,0.08,https://giszoo.blogspot.com/,42
44,FATA,FR D.I.KHAN,2.4,DISTRICT,2.4,2.4,0.16,https://giszoo.blogspot.com/,43
45,FATA,FR KOHAT,1.61,DISTRICT,1.61,1.61,0.05,https://giszoo.blogspot.com/,44
46,FATA,FR LAKKI MARWAT,0.6,DISTRICT,0.6,0.6,0.02,https://giszoo.blogspot.com/,45
47,FATA,FR PESHAWAR,0.98,DISTRICT,0.98,0.98,0.03,,46
48,FATA,FR TANK,1.8,DISTRICT,1.8,1.8,0.11,,47
50,FATA,KURRAM AGENCY,3.03,AGENCY,3.03,3.03,0.33,,48
51,FATA,MOHMAND AGENCY,2.46,AGENCY,2.5,2.5,0.22,,49
52,FATA,N. WAZIRASTAN,3.86,DISTRICT,3.86,3.86,0.47,,50
53,FATA,ORAKZAI AGENCY,2.52,AGENCY,2.52,2.52,0.13,,51
54,FATA,S. WAZIRASTAN,4.79,DISTRICT,4.79,4.79,0.6,,52
54,FATA,S. WAZIRASTAN,4.79,DISTRICT,4.79,4.79,0.6,,52
55,FEDERAL CAPITAL TERRITORY,ISLAMABAD,1.69,FEDERAL CAPITAL TERRITORY,1.69,1.69,0.09,,53
56,GILGIT BALTISTAN,ASTORE,4.33,DISTRICT,4.33,4.33,0.52,,54
57,GILGIT BALTISTAN,DIAMIR,4.86,DISTRICT,4.86,4.86,0.69,,55
58,GILGIT BALTISTAN,GHANCHE,4.6,DISTRICT,4.6,4.6,0.85,https://giszoo.blogspot.com/,56
59,GILGIT BALTISTAN,GHIZER,6.26,DISTRICT,6.26,6.26,1.21,https://giszoo.blogspot.com/,57
60,GILGIT BALTISTAN,GILGIT,3.7,DISTRICT,3.7,3.7,0.4,https://giszoo.blogspot.com/,58
61,GILGIT BALTISTAN,HUNZA NAGAR,6.85,DISTRICT,6.85,6.85,1.46,https://giszoo.blogspot.com/,59
62,GILGIT BALTISTAN,SKARDU,8.86,DISTRICT,8.86,8.86,1.87,https://giszoo.blogspot.com/,60
63,KHYBER PAKHTUNKHWA,ABBOTTABAD,2.19,DISTRICT,2.19,2.19,0.17,,61
64,KHYBER PAKHTUNKHWA,BANNU,1.78,DISTRICT,1.78,1.78,0.11,,62
64,KHYBER PAKHTUNKHWA,BANNU,1.78,DISTRICT,1.78,1.78,0.11,,62
65,KHYBER PAKHTUNKHWA,BATAGRAM,2.05,DISTRICT,2.05,2.05,0.13,,63
66,KHYBER PAKHTUNKHWA,BUNER,2.16,DISTRICT,2.16,2.16,0.17,,64
67,KHYBER PAKHTUNKHWA,CHARSADDA,1.48,DISTRICT,1.6,1.6,0.1,,65
68,KHYBER PAKHTUNKHWA,CHITRAL,8.23,DISTRICT,8.23,8.23,1.48,,66
69,KHYBER PAKHTUNKHWA,D I KHAN,4.44,DISTRICT,4.44,4.44,0.7,,67
70,KHYBER PAKHTUNKHWA,HANGU,2.16,DISTRICT,2.16,2.16,0.13,,68
71,KHYBER PAKHTUNKHWA,HARIPUR,3.01,DISTRICT,3.01,3.01,0.19,,69
72,KHYBER PAKHTUNKHWA,KARAK,2.6,DISTRICT,2.6,2.6,0.26,,70
73,KHYBER PAKHTUNKHWA,KOHAT,3.99,DISTRICT,3.99,3.99,0.29,,71
74,KHYBER PAKHTUNKHWA,UPPER KOHISTAN,4.71,DISTRICT,4.43,4.43,0.56,,72
75,KHYBER PAKHTUNKHWA,LAKKI MARWAT,2.56,DISTRICT,2.56,2.56,0.31,,73
76,KHYBER PAKHTUNKHWA,LOWER DIR,2.02,DISTRICT,2.02,2.02,0.17,,74
77,KHYBER PAKHTUNKHWA,MALAKAND PROTECTED AREA,1.66,DISTRICT,1.66,1.66,0.09,,75
78,KHYBER PAKHTUNKHWA,MANSEHRA,4.38,DISTRICT,4.38,4.38,0.42,,76
79,KHYBER PAKHTUNKHWA,MARDAN,1.89,DISTRICT,1.89,1.89,0.16,,77
80,KHYBER PAKHTUNKHWA,NOWSHERA,2.11,DISTRICT,2.15,2.15,0.17,,78
82,KHYBER PAKHTUNKHWA,SHANGLA,2.13,DISTRICT,2.13,2.13,0.14,,79
83,KHYBER PAKHTUNKHWA,SWABI,2.25,DISTRICT,2.25,2.25,0.14,,80
84,KHYBER PAKHTUNKHWA,SWAT,4.14,DISTRICT,4.14,4.14,0.53,,81
85,KHYBER PAKHTUNKHWA,TANK,1.91,DISTRICT,1.91,1.91,0.16,,82
86,KHYBER PAKHTUNKHWA,TORDHER,1.36,DISTRICT,1.36,1.36,0.05,,83
87,KHYBER PAKHTUNKHWA,UPPER DIR,3.25,DISTRICT,3.25,3.25,0.36,,84
88,PUNJAB,ATTOCK,4.74,DISTRICT,4.74,4.74,0.66,,85
89,PUNJAB,BAHAWALNAGAR,7.05,DISTRICT,7.05,7.05,0.8,,86
90,PUNJAB,BAHAWALPUR,9.2,DISTRICT,9.2,9.2,2.21,,87
91,PUNJAB,BHAKKAR,4.6,DISTRICT,4.6,4.6,0.81,,88
92,PUNJAB,CHAKWAL,4.78,DISTRICT,4.78,4.78,0.64,,89
93,PUNJAB,CHINIOT,2.65,DISTRICT,2.65,2.65,0.25,,90
94,PUNJAB,D G KHAN,5.56,DISTRICT,5.56,5.56,1.1,,91
95,PUNJAB,FAISALABAD,4.23,DISTRICT,4.23,4.23,0.56,,92
96,PUNJAB,GUJRANWALA,3,DISTRICT,3,3,0.35,,93
97,PUNJAB,GUJRAT,2.48,DISTRICT,2.48,2.48,0.31,,94
98,PUNJAB,HAFIZABAD,2.15,DISTRICT,2.15,2.15,0.22,,95
99,PUNJAB,JHANG,5.1,DISTRICT,5.1,5.1,0.6,,96
100,PUNJAB,JHELUM,4.06,DISTRICT,4.06,4.06,0.34,https://giszoo.blogspot.com/,97
101,PUNJAB,KASUR,3.87,DISTRICT,3.87,3.87,0.37,https://giszoo.blogspot.com/,98
103,PUNJAB,KHUSHAB,4.04,DISTRICT,4.04,4.04,0.63,https://giszoo.blogspot.com/,99
104,PUNJAB,LAHORE,2.49,DISTRICT,2.45,2.45,0.16,https://giszoo.blogspot.com/,100
105,PUNJAB,LAYYAH,4,DISTRICT,4,4,0.6,https://giszoo.blogspot.com/,101
106,PUNJAB,LODHRAN,3.49,DISTRICT,3.49,3.49,0.25,https://giszoo.blogspot.com/,102
107,PUNJAB,MANDI BAHAUDDIN,2.64,DISTRICT,2.64,2.64,0.26,https://giszoo.blogspot.com/,103
108,PUNJAB,MIANWALI,4.19,DISTRICT,4.19,4.19,0.58,https://giszoo.blogspot.com/,104
109,PUNJAB,MULTAN,4.04,DISTRICT,4.04,4.04,0.34,https://giszoo.blogspot.com/,105
110,PUNJAB,MUZAFARGARH,6.06,DISTRICT,6.06,6.06,0.72,https://giszoo.blogspot.com/,106
111,PUNJAB,NANKANA SAHIB,4.28,DISTRICT,4.28,4.28,0.26,https://giszoo.blogspot.com/,107
112,PUNJAB,NAROWAL,2.8,DISTRICT,2.8,2.8,0.22,https://giszoo.blogspot.com/,108
113,PUNJAB,OKARA,4.27,DISTRICT,4.27,4.27,0.42,https://giszoo.blogspot.com/,109
114,PUNJAB,PAKPATTAN,3.77,DISTRICT,3.77,3.77,0.27,https://giszoo.blogspot.com/,110
115,PUNJAB,R Y KHAN,7.07,DISTRICT,7.07,7.07,1.19,,111
116,PUNJAB,RAJANPUR,6.25,DISTRICT,6.25,6.25,1.16,,112
117,PUNJAB,RAWALPINDI,5.49,DISTRICT,5.49,5.49,0.5,,113
118,PUNJAB,SAHIWAL,4.26,DISTRICT,4.26,4.26,0.3,,114
119,PUNJAB,SARGODHA,4.66,DISTRICT,4.66,4.66,0.55,,115
120,PUNJAB,SHEIKHUPURA,4.11,DISTRICT,4.11,4.11,0.29,,116
121,PUNJAB,SIALKOT,2.88,DISTRICT,3.27,3.27,0.3,,117
122,PUNJAB,T. T SINGH,3.73,DISTRICT,3.73,3.73,0.29,,118
123,PUNJAB,VEHARI,4.94,DISTRICT,4.94,4.94,0.42,,119
124,SINDH,BADIN,5.01,DISTRICT,5.01,5.01,0.58,https://giszoo.blogspot.com/,120
125,SINDH,DADU,4.24,DISTRICT,4.36,4.36,0.73,https://giszoo.blogspot.com/,121
126,SINDH,GHOTKI,3.8,DISTRICT,4.1,4.1,0.6,https://giszoo.blogspot.com/,122
127,SINDH,HYDERABAD,1.45,DISTRICT,1.45,1.45,0.09,https://giszoo.blogspot.com/,123
128,SINDH,JACOBABAD,2.86,DISTRICT,2.86,2.86,0.25,https://giszoo.blogspot.com/,124
129,SINDH,JAMSHORO,5.49,DISTRICT,5.53,5.53,1.01,,125
131,SINDH,KASHMORE,2.86,DISTRICT,2.68,2.68,0.23,,126
132,SINDH,KHAIRPUR,7.02,DISTRICT,7.02,7.02,1.45,,127
133,SINDH,LARKANA,2.69,DISTRICT,2.68,2.68,0.17,,128
134,SINDH,MATIARI,2.23,DISTRICT,2.23,2.23,0.13,,129
135,SINDH,MIRPURKHAS,3.15,DISTRICT,3.15,3.15,0.3,,130
136,SINDH,NAUSHAHRO FEROZ,2.65,DISTRICT,2.66,2.66,0.27,,131
137,SINDH,SANGHAR,5.75,DISTRICT,5.75,5.75,0.92,,132
138,SINDH,SHAHDAD KOT,3.17,DISTRICT,3.17,3.17,0.51,,133
139,SINDH,S. BENAZIRABAD,3.05,DISTRICT,3.05,3.05,0.42,,134
140,SINDH,SHIKARPHUR,2.23,DISTRICT,2.23,2.23,0.24,,135
141,SINDH,SUKKUR,4.1,DISTRICT,4.1,4.1,0.48,,136
142,SINDH,T. AYAR,1.74,DISTRICT,1.74,1.74,0.14,,137
143,SINDH,T. M KHAN,2.9,DISTRICT,2.9,2.9,0.16,https://giszoo.blogspot.com/,138
144,SINDH,THARPARKAR,7.93,DISTRICT,7.93,7.93,1.77,https://giszoo.blogspot.com/,139
145,SINDH,SUJJAWAL,14.29,DISTRICT,6.41,6.41,0.77,https://giszoo.blogspot.com/,140
146,SINDH,UMERKOT,4.46,DISTRICT,4.46,4.46,0.49,https://giszoo.blogspot.com/,141
130,SINDH,KARACHI CENTRAL,0,DISTRICT,0.37,0.37,0.01,https://giszoo.blogspot.com/,142
130,SINDH,KARACHI WEST,0,DISTRICT,1.59,1.59,0.04,https://giszoo.blogspot.com/,143
130,SINDH,MALIR CANTONMENT,0,CANTONMENT,0.44,0.44,0.01,https://giszoo.blogspot.com/,144
130,SINDH,KORANGI CREEK CANTONMENT,0,CANTONMENT,0.23,0.23,0,https://giszoo.blogspot.com/,145
130,SINDH,MANORA CANTONMENT,0,CANTONMENT,0.12,0.12,0,https://giszoo.blogspot.com/,146
130,SINDH,MANORA CANTONMENT,0,CANTONMENT,0.12,0.12,0,https://giszoo.blogspot.com/,146
130,SINDH,CLIFTON CANTONMENT,0,CANTONMENT,0.36,0.36,0,https://giszoo.blogspot.com/,147
130,SINDH,KARACHI CANTONMENT,0,CANTONMENT,0.1,0.1,0,https://giszoo.blogspot.com/,148
130,SINDH,FAISAL CANTONMENT,0,CANTONMENT,0.49,0.49,0,https://giszoo.blogspot.com/,149
130,SINDH,KARACHI SOUTH,0,DISTRICT,0.66,0.66,0.01,https://giszoo.blogspot.com/,150
81,KHYBER PAKHTUNKHWA,PESHAWAR,1.52,DISTRICT,1.9,1.9,0.12,,151
49,FATA,KHYBER AGENCY,3.43,AGENCY,3.54,3.54,0.27,,152
130,SINDH,MALIR,0,DISTRICT,3.55,3.55,0.25,https://giszoo.blogspot.com/,153
102,PUNJAB,KHANEWAL,4.18,DISTRICT,4.18,4.18,0.41,,154
74,KHYBER PAKHTUNKHWA,LOWER KOHISTAN,4.71,DISTRICT,2.88,2.88,0.2,,155
130,SINDH,KORANGI,0,DISTRICT,0.55,0.55,0.01,https://giszoo.blogspot.com/,156
130,SINDH,KARACHI EAST,0,DISTRICT,0.41,0.41,0,https://giszoo.blogspot.com/,157
145,SINDH,THATTA,14.29,DISTRICT,11.8,11.8,0.69,https://giszoo.blogspot.com/,158
37,BALOCHISTAN,LEHRI,6.17,DISTRICT,3.26,3.26,0.3,,159
17,BALOCHISTAN,SOHBATPUR,3.83,DISTRICT,1.86,1.86,0.06,,160
